point_id,corner_label,temp_c,vdd_v,amp_v_peak_per_tone,src_tone_v_peak_measured,pin_avail_dbm_per_tone,pout_dbm_per_tone,pim3_dbm,gain_db,iip3_dbm,oip3_dbm,iip3_dbm_dft_crosscheck,v_tone1_out_v,v_tone2_out_v,v_im3l_out_v,v_im3h_out_v,v_im5_out_v,im3_over_im5_db,ic1_a,idd_a,fft_npts,fft_df_hz
iip3_fs_27c_vdd1.80v_a1mv,fs,27,1.80,1.000000e-03,9.996210e-04,-56.0206,-44.5247,-153.6996,11.4959,-1.4331,10.0628,-1.4319,1.879340e-03,1.877260e-03,6.574570e-09,6.488580e-09,6.350475e-11,40.24,3.941040e-03,4.716860e-03,65536,3.814700e+06
iip3_fs_27c_vdd1.80v_a2mv,fs,27,1.80,2.000000e-03,1.999240e-03,-50.0000,-38.5043,-135.6727,11.4957,-1.4158,10.0798,-1.4155,3.758580e-03,3.754410e-03,5.229610e-08,5.179050e-08,1.165887e-10,52.99,3.941040e-03,4.716860e-03,65536,3.814700e+06
iip3_fs_27c_vdd1.98v_a1mv,fs,27,1.98,1.000000e-03,9.996210e-04,-56.0206,-44.4894,-154.3343,11.5312,-1.0981,10.4331,-1.0968,1.887010e-03,1.884890e-03,6.100010e-09,6.042660e-09,5.763480e-11,40.45,4.033780e-03,4.825520e-03,65536,3.814700e+06
iip3_fs_27c_vdd1.98v_a2mv,fs,27,1.98,2.000000e-03,1.999240e-03,-50.0000,-38.4690,-136.2807,11.5310,-1.0942,10.4368,-1.0938,3.773930e-03,3.769690e-03,4.865600e-08,4.839410e-08,1.250410e-10,51.78,4.033780e-03,4.825520e-03,65536,3.814700e+06
iip3_sf_-40c_vdd1.62v_a1mv,sf,-40,1.62,1.000000e-03,9.996210e-04,-56.0206,-44.1311,-152.0023,11.8895,-2.0850,9.8045,-2.0836,1.966630e-03,1.964120e-03,7.962920e-09,7.919480e-09,5.837025e-11,42.67,3.868770e-03,4.611600e-03,65536,3.814700e+06
iip3_sf_-40c_vdd1.62v_a2mv,sf,-40,1.62,2.000000e-03,1.999240e-03,-50.0000,-38.1107,-133.9440,11.8893,-2.0834,9.8059,-2.0830,3.933150e-03,3.928130e-03,6.362710e-08,6.338040e-08,1.121135e-10,55.06,3.868770e-03,4.611600e-03,65536,3.814700e+06
iip3_sf_-40c_vdd1.80v_a1mv,sf,-40,1.80,1.000000e-03,9.996210e-04,-56.0206,-44.1007,-152.6123,11.9199,-1.7648,10.1551,-1.7632,1.973540e-03,1.970990e-03,7.415810e-09,7.389350e-09,5.997990e-11,41.83,3.971290e-03,4.729990e-03,65536,3.814700e+06
iip3_sf_-40c_vdd1.80v_a2mv,sf,-40,1.80,2.000000e-03,1.999240e-03,-50.0000,-38.0803,-134.5882,11.9197,-1.7461,10.1736,-1.7457,3.946980e-03,3.941890e-03,5.899030e-08,5.893910e-08,1.239405e-10,53.55,3.971290e-03,4.729990e-03,65536,3.814700e+06
iip3_sf_-40c_vdd1.98v_a1mv,sf,-40,1.98,1.000000e-03,9.996210e-04,-56.0206,-44.0706,-153.3053,11.9500,-1.4033,10.5467,-1.4016,1.980390e-03,1.977810e-03,6.843310e-09,6.826640e-09,5.788935e-11,41.44,4.079990e-03,4.854510e-03,65536,3.814700e+06
iip3_sf_-40c_vdd1.98v_a2mv,sf,-40,1.98,2.000000e-03,1.999240e-03,-50.0000,-38.0502,-135.2584,11.9498,-1.3959,10.5538,-1.3955,3.960700e-03,3.955530e-03,5.454470e-08,5.462720e-08,1.105430e-10,53.87,4.079990e-03,4.854510e-03,65536,3.814700e+06
