point_id,corner_label,temp_c,vdd_v,nfmin_sp_db_committed,nfmin290_db_derived,nfmin_reref_delta_db,nf290_db_committed,s21_db_committed_min,s11_db_committed_worst,s22_db_committed_worst,gain_in_match_only_db,ga_max_ideal_db,ga_max_q3_db,ga_max_q5_db,ga_max_q8_db,ga_max_q10_db,ga_max_q15_db,ga_max_q20_db,ga_max_q30_db,ga_max_q50_db
sp_typ_125c_vdd1.98v,typ,125,1.98,2.4703,3.1215,+0.6512,3.3908,10.7961,-3.1179,-0.0045,13.6928,43.2060,15.8212,18.0345,20.0678,21.0316,22.7794,24.0157,25.7505,27.9173
sp_typ_27c_vdd1.62v,typ,27,1.62,2.3836,2.4473,+0.0637,2.6595,11.4232,-3.0709,-0.0046,14.3662,43.7506,16.4955,18.7086,20.7417,21.7054,23.4527,24.6886,26.4227,28.5879
sp_typ_27c_vdd1.80v,typ,27,1.80,2.3817,2.4454,+0.0637,2.6559,11.4604,-3.0657,-0.0044,14.4089,43.9463,16.5388,18.7521,20.7854,21.7493,23.4971,24.7335,26.4684,28.6355
sp_typ_27c_vdd1.98v,typ,27,1.98,2.3796,2.4433,+0.0637,2.6522,11.4972,-3.0624,-0.0043,14.4490,44.1278,16.5795,18.7929,20.8265,21.7906,23.5388,24.7756,26.5114,28.6800
sp_wcs_-40c_vdd1.62v,wcs,-40,1.62,2.6266,2.2220,-0.4046,2.4845,11.5182,-3.0766,-0.0055,14.4557,43.0617,16.5792,18.7912,20.8227,21.7853,23.5301,24.7634,26.4923,28.6474
sp_wcs_-40c_vdd1.80v,wcs,-40,1.80,2.6251,2.2206,-0.4045,2.4815,11.5469,-3.0702,-0.0053,14.4909,43.2357,16.6150,18.8272,20.8590,21.8218,23.5671,24.8009,26.5308,28.6879
sp_wcs_-40c_vdd1.98v,wcs,-40,1.98,2.6235,2.2192,-0.4043,2.4784,11.5749,-3.0661,-0.0052,14.5231,43.3967,16.6478,18.8602,20.8922,21.8552,23.6010,24.8352,26.5660,28.7248
sp_wcs_125c_vdd1.62v,wcs,125,1.62,2.7275,3.4239,+0.6964,3.7759,10.2748,-3.2227,-0.0059,13.0729,41.3442,15.1925,17.4040,19.4348,20.3969,22.1404,23.3724,25.0988,27.2491
sp_wcs_125c_vdd1.80v,wcs,125,1.80,2.7271,3.4234,+0.6963,3.7736,10.3145,-3.2162,-0.0057,13.1190,41.5616,15.2394,17.4512,19.4823,20.4447,22.1888,23.4215,25.1493,27.3021
sp_wcs_125c_vdd1.98v,wcs,125,1.98,2.7268,3.4231,+0.6963,3.7713,10.3521,-3.2133,-0.0055,13.1596,41.7626,15.2808,17.4928,19.5243,20.4869,22.2317,23.4650,25.1939,27.3490
sp_wcs_27c_vdd1.62v,wcs,27,1.62,2.6495,2.7184,+0.0689,3.0120,11.0605,-3.1445,-0.0057,13.9323,42.4167,16.0545,18.2663,20.2975,21.2600,23.0043,24.2371,25.9651,28.1186
sp_wcs_27c_vdd1.80v,wcs,27,1.80,2.6488,2.7177,+0.0689,3.0097,11.0934,-3.1381,-0.0055,13.9717,42.6070,16.0945,18.3066,20.3381,21.3008,23.0457,24.2791,26.0082,28.1638
sp_wcs_27c_vdd1.98v,wcs,27,1.98,2.6482,2.7170,+0.0688,3.0073,11.1254,-3.1343,-0.0053,14.0075,42.7833,16.1309,18.3432,20.3751,21.3379,23.0833,24.3172,26.0473,28.2049
