point_id,corner_label,hbt_section,temp_c,nx,vce_v,vbe_v,ic_a,jc_ma_um2,ft_hz,gain_db,nf_db,validity_flags
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.85,8.808630e-05,0.764638,1.2854E+11,-8.675680,14.552400,
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.87,2.035970e-04,1.767335,2.34302E+11,-2.934020,10.273000,
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.89,4.148550e-04,3.601172,3.41378E+11,1.037970,8.136770,
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.91,7.345960e-04,6.376701,4.16881E+11,3.526940,7.141360,
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.93,1.153120e-03,10.009722,4.61839E+11,5.080170,6.608820,
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.95,1.653940e-03,14.357118,4.84995E+11,6.107120,6.271550,
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.97,2.223060e-03,19.297396,4.9358E+11,6.836000,6.032490,vbe_high
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.99,2.850410e-03,24.743142,4.89834E+11,7.387260,5.852680,vbe_high
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,1.01,3.529610e-03,30.638976,4.74082E+11,7.825480,5.714580,ic_high;vbe_high
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,1.03,4.256330e-03,36.947309,4.49187E+11,8.187260,5.609460,ic_high;vbe_high
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,1.05,5.027610e-03,43.642448,4.12937E+11,8.494280,5.532920,ic_high;vbe_high
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.55,1.279430e-08,0.000111,1.88604E+07,-51.089800,57.110300,vbe_low
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.57,2.723920e-08,0.000236,3.9897E+07,-51.060700,57.081300,vbe_low
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.59,5.799110e-08,0.000503,8.457E+07,-51.013900,57.034600,vbe_low
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.61,1.234540e-07,0.001072,1.78790E+08,-50.893700,56.914700,vbe_low
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.63,2.627900e-07,0.002281,3.78461E+08,-50.472200,56.493800,vbe_low
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.65,5.592790e-07,0.004855,7.99107E+08,-49.023400,55.046300,
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.67,1.189790e-06,0.010328,1.68604E+09,-45.480400,51.505900,
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.69,2.529000e-06,0.021953,3.54571E+09,-40.045700,46.077100,
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.71,5.365960e-06,0.046580,7.40028E+09,-33.839900,39.884500,
