point_id,bench,role,corner_label,hbt_section,temp_c,nx,selft,rb_label,rb_ohm,ic_a,ic_per_nx_a,vce_v,vb_v,ie_a
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1E-07,1.000000e-07,1.56377,0.709999,9.99984E-08
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1.33352E-07,1.333520e-07,1.56529,0.715852,1.3335E-07
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1.77828E-07,1.778280e-07,1.56701,0.721705,1.77826E-07
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,2.37137E-07,2.371370e-07,1.56892,0.727559,2.37135E-07
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,3.16228E-07,3.162280e-07,1.571,0.733414,3.16226E-07
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,4.21697E-07,4.216970e-07,1.57324,0.73927,4.21695E-07
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,5.62341E-07,5.623410e-07,1.57561,0.745127,5.62339E-07
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,7.49894E-07,7.498940e-07,1.5781,0.750986,7.49892E-07
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1E-06,1.000000e-06,1.58071,0.756848,9.99998E-07
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1.33352E-06,1.333520e-06,1.58342,0.762712,1.33352E-06
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1.77828E-06,1.778280e-06,1.58624,0.768582,1.77828E-06
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,2.37137E-06,2.371370e-06,1.58915,0.774457,2.37137E-06
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,3.16228E-06,3.162280e-06,1.59217,0.78034,3.16228E-06
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,4.21697E-06,4.216970e-06,1.5953,0.786233,4.21697E-06
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,5.62341E-06,5.623410e-06,1.59855,0.792141,5.62341E-06
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,7.49894E-06,7.498940e-06,1.60194,0.798067,7.49894E-06
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1E-05,1.000000e-05,1.6055,0.804017,1E-05
