point_id,role,corner_label,hbt_section,temp_c,nx,selft,rb_label,rb_ohm,n_points,n_converged,vce_at_1ua_per_nx_v,vce_at_10ua_per_nx_v,vce_at_100ua_per_nx_v,vce_at_500ua_per_nx_v,locus_min_vce_v,locus_min_at_ic_per_nx_a,locus_has_foldback
a_nx8_fs_125c_rbopen_st0,extraction,fs,hbt_typ,125,8,0,open,1e12,61,61,1.4370,1.5084,1.5989,1.7314,0.1943,1.0000e-10,no
a_nx8_fs_125c_rbopen_st1,extraction,fs,hbt_typ,125,8,1,open,1e12,61,61,1.4370,1.5083,1.5983,1.7300,0.1943,1.0000e-10,no
a_nx8_sf_-40c_rbopen_st0,extraction,sf,hbt_typ,-40,8,0,open,1e12,61,61,1.5806,1.6055,1.6490,1.7461,1.5585,2.3714e-08,yes
a_nx8_sf_-40c_rbopen_st1,extraction,sf,hbt_typ,-40,8,1,open,1e12,61,61,1.5806,1.6054,1.6490,1.7476,1.5585,2.3714e-08,yes
a_nx8_sf_27c_rbopen_st0,extraction,sf,hbt_typ,27,8,0,open,1e12,61,61,1.5602,1.6030,1.6649,1.7766,1.5047,5.6234e-09,yes
a_nx8_sf_27c_rbopen_st1,extraction,sf,hbt_typ,27,8,1,open,1e12,61,61,1.5602,1.6029,1.6644,1.7758,1.5047,5.6234e-09,yes
a_nx8_sf_125c_rbopen_st0,extraction,sf,hbt_typ,125,8,0,open,1e12,61,61,1.4370,1.5084,1.5989,1.7314,0.1943,1.0000e-10,no
a_nx8_sf_125c_rbopen_st1,extraction,sf,hbt_typ,125,8,1,open,1e12,61,61,1.4370,1.5083,1.5983,1.7300,0.1943,1.0000e-10,no
a_nx8_typ_-40c_rbopen_st0,extraction,typ,hbt_typ,-40,8,0,open,1e12,61,61,1.5806,1.6055,1.6490,1.7461,1.5585,2.3714e-08,yes
a_nx8_typ_-40c_rbopen_st1,extraction,typ,hbt_typ,-40,8,1,open,1e12,61,61,1.5806,1.6054,1.6490,1.7476,1.5585,2.3714e-08,yes
a_nx8_typ_27c_rbopen_st0,extraction,typ,hbt_typ,27,8,0,open,1e12,61,61,1.5602,1.6030,1.6649,1.7766,1.5047,5.6234e-09,yes
a_nx8_typ_27c_rbopen_st1,extraction,typ,hbt_typ,27,8,1,open,1e12,61,61,1.5602,1.6029,1.6644,1.7758,1.5047,5.6234e-09,yes
a_nx8_typ_125c_rbopen_st0,extraction,typ,hbt_typ,125,8,0,open,1e12,61,61,1.4370,1.5084,1.5989,1.7314,0.1943,1.0000e-10,no
a_nx8_typ_125c_rbopen_st1,extraction,typ,hbt_typ,125,8,1,open,1e12,61,61,1.4370,1.5083,1.5983,1.7300,0.1943,1.0000e-10,no
a_nx8_wcs_-40c_rbopen_st0,extraction,wcs,hbt_wcs,-40,8,0,open,1e12,61,61,1.6953,1.7185,1.7620,1.8679,1.6728,1.3335e-08,yes
a_nx8_wcs_-40c_rbopen_st1,extraction,wcs,hbt_wcs,-40,8,1,open,1e12,61,61,1.6953,1.7184,1.7622,1.8704,1.6728,1.3335e-08,yes
a_nx8_wcs_27c_rbopen_st0,extraction,wcs,hbt_wcs,27,8,0,open,1e12,61,61,1.6802,1.7216,1.7840,1.9050,1.6202,4.2170e-09,yes
a_nx8_wcs_27c_rbopen_st1,extraction,wcs,hbt_wcs,27,8,1,open,1e12,61,61,1.6802,1.7215,1.7835,1.9045,1.6202,4.2170e-09,yes
a_nx8_wcs_125c_rbopen_st0,extraction,wcs,hbt_wcs,125,8,0,open,1e12,61,61,1.5531,1.6241,1.7160,1.8584,0.2144,1.0000e-10,no
a_nx8_wcs_125c_rbopen_st1,extraction,wcs,hbt_wcs,125,8,1,open,1e12,61,61,1.5531,1.6239,1.7152,1.8570,0.2144,1.0000e-10,no
a_nx1_typ_27c_rb140_st1,probe,typ,hbt_typ,27,1,1,140,1.4e2,61,42,384.1040,394.0120,,,33.3266,1.0000e-10,no
a_nx8_typ_27c_rb140_st1,probe,typ,hbt_typ,27,8,1,140,1.4e2,61,42,384.3000,394.7990,280.8700,88.7275,3.7223,3.1623e-03,no
a_nx1_typ_27c_rbshort_st1,probe,typ,hbt_typ,27,1,1,short,1e-3,61,43,384.1030,394.0060,,,33.3266,1.0000e-10,no
a_nx8_typ_27c_rbshort_st1,probe,typ,hbt_typ,27,8,1,short,1e-3,61,36,384.2920,394.7540,,,266.1730,1.0000e-10,no
